,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese,Age,bullied
2,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,14,0
5,0,0,0,0,0,1,0,3,0,3,4,0,0,0,0,0,13,0
10,0,0,0,0,0,1,0,3,2,3,4,0,1,0,0,0,15,0
22,0,0,1,0,0,2,3,3,0,1,4,1,0,0,0,0,13,1
23,0,0,0,0,0,2,3,2,0,4,2,1,0,0,1,1,14,0
31,0,0,0,1,0,0,0,3,0,3,4,0,0,0,0,0,13,0
33,0,0,0,1,0,0,0,3,0,4,4,0,0,0,0,0,14,0
37,0,0,0,0,0,5,1,3,4,4,1,0,1,0,0,0,13,0
39,0,0,1,1,0,1,1,3,0,3,3,0,0,0,0,0,13,1
41,1,0,1,0,0,1,1,3,0,3,3,0,0,0,1,0,13,1
42,1,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,15,1
43,0,0,0,1,1,0,0,3,1,4,4,0,1,0,1,0,14,0
45,1,0,0,1,0,0,2,3,0,1,4,0,0,0,0,0,13,1
47,0,0,0,1,1,0,2,3,0,2,4,0,0,0,0,0,15,0
48,0,0,1,1,0,0,1,3,0,2,2,0,0,0,0,0,14,1
49,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,16,0
50,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,16,0
52,0,1,1,1,0,2,1,3,1,2,3,0,1,0,1,0,14,1
54,0,1,1,0,3,2,3,0,4,2,4,1,1,0,0,0,16,1
56,0,0,0,0,0,0,1,3,0,1,1,0,0,1,0,0,15,0
57,0,0,0,0,0,3,1,3,0,3,4,0,0,0,0,0,15,0
58,0,0,0,0,0,2,0,3,4,3,4,0,1,0,0,0,16,0
59,1,0,0,1,0,0,1,3,0,3,2,0,0,0,0,0,15,1
60,0,0,1,1,0,0,4,3,0,2,3,1,0,0,0,0,15,1
61,0,0,0,1,0,0,2,3,0,3,2,0,0,0,0,0,15,0
64,0,1,0,1,0,0,3,3,0,3,4,1,0,0,1,0,16,1
66,0,0,0,1,0,0,0,3,0,4,4,0,0,0,0,0,14,0
69,0,0,0,1,0,0,2,3,0,2,4,0,0,0,1,1,15,0
73,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,16,0
75,0,0,0,1,0,0,2,2,0,2,2,0,0,0,0,0,16,0
76,0,0,0,1,0,0,0,3,0,4,2,0,0,0,0,0,15,0
77,0,1,1,1,0,0,4,3,1,1,1,1,1,0,0,0,14,1
78,0,0,1,0,0,0,4,3,0,4,0,1,0,0,0,0,15,1
79,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,17,0
80,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,0,16,0
81,0,0,0,1,0,0,2,3,0,3,0,0,0,0,1,0,15,0
84,0,0,0,1,0,0,1,3,0,2,2,0,0,0,1,0,15,0
87,0,0,0,0,0,0,1,3,0,1,1,0,0,0,1,0,15,0
88,0,0,0,1,0,0,3,1,0,2,4,1,0,0,0,0,15,0
94,0,0,1,0,1,1,2,2,0,2,3,0,0,0,0,0,17,1
96,1,1,1,1,1,1,2,3,0,2,4,0,0,0,0,0,16,1
98,0,0,0,0,0,0,2,3,0,1,3,0,0,0,0,0,16,0
99,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,16,0
105,0,0,0,1,0,0,3,2,3,1,4,1,1,0,0,0,17,0
106,0,0,1,1,0,0,2,3,0,2,1,0,0,0,1,1,15,1
109,0,0,0,1,0,2,4,1,0,2,0,1,0,0,0,0,17,0
112,0,1,1,0,1,1,0,1,4,2,3,0,1,0,0,0,17,1
113,0,0,0,1,0,0,1,3,0,3,2,0,0,0,0,0,13,0
114,1,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,12,1
115,0,0,0,0,1,1,1,3,0,1,2,0,0,0,0,0,13,0
116,0,0,0,0,0,0,0,3,0,4,4,0,0,0,1,0,13,0
117,1,0,0,1,0,0,2,3,0,2,2,0,0,0,0,0,13,1
118,1,0,0,1,0,0,1,3,0,2,4,0,0,0,0,0,13,1
119,0,0,0,0,0,0,2,3,0,1,3,0,0,1,0,0,14,0
120,0,0,0,0,0,3,0,3,0,3,0,0,0,0,1,1,13,0
121,1,1,1,1,0,0,3,1,0,4,4,1,0,0,1,0,13,1
122,1,0,1,1,0,0,4,1,1,2,0,1,1,0,1,0,13,1
123,0,1,1,0,0,1,0,3,1,3,4,0,1,0,1,0,13,1
124,0,1,0,0,0,3,0,3,3,3,1,0,1,0,1,0,14,1
125,1,0,1,1,1,0,3,2,0,3,0,1,0,0,0,0,13,1
128,1,1,1,1,6,1,4,3,0,2,3,1,0,0,0,0,14,1
129,0,0,0,0,0,3,0,3,1,1,2,0,1,0,1,0,13,0
131,1,0,1,1,0,0,1,3,0,2,4,0,0,0,0,0,13,1
132,0,1,1,1,0,1,2,3,0,2,2,0,0,0,0,0,13,1
133,0,0,0,0,0,4,0,3,0,3,3,0,0,0,1,0,13,0
136,0,0,1,0,1,2,1,3,0,2,2,0,0,1,0,0,13,1
137,1,0,0,1,0,0,2,3,0,3,1,0,0,0,0,0,13,1
138,1,0,0,1,0,0,2,1,0,2,1,0,0,0,0,0,13,1
139,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,15,1
140,0,0,0,1,0,0,2,3,0,3,3,0,0,0,0,0,14,0
141,0,0,0,0,0,0,0,3,0,3,3,0,0,0,1,1,14,0
143,0,0,0,0,0,0,0,3,0,4,2,0,0,0,1,0,14,0
144,0,0,0,1,0,0,0,3,0,3,4,0,0,0,0,0,15,0
146,0,0,0,0,0,2,0,2,0,3,3,0,0,0,0,0,14,0
147,0,0,0,1,0,0,2,3,0,3,4,0,0,0,0,0,14,0
148,0,0,0,1,0,0,2,3,0,3,4,0,0,0,0,0,14,0
149,0,0,0,1,0,0,2,2,2,0,0,0,1,0,0,0,14,0
150,0,0,0,0,0,0,0,3,1,3,0,0,1,0,1,0,14,0
152,0,0,0,1,0,1,2,3,1,3,3,0,1,0,0,0,15,0
154,1,0,0,0,1,0,2,0,0,4,2,0,0,0,0,0,14,1
157,0,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,14,0
158,0,0,0,0,0,0,2,3,2,1,0,0,1,0,0,0,13,0
160,0,0,0,1,0,0,2,3,0,3,0,0,0,0,0,0,14,0
162,1,1,0,0,0,0,0,3,0,2,1,0,0,0,1,1,15,1
163,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,1,14,0
165,0,1,1,1,0,0,3,3,0,3,2,1,0,0,0,0,15,1
166,0,1,1,0,0,0,0,3,0,3,2,0,0,0,1,0,14,1
167,0,0,0,0,0,0,0,3,0,4,2,0,0,0,1,0,15,0
168,0,0,1,0,0,0,1,3,0,3,2,0,0,0,1,0,14,1
169,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,14,0
170,1,1,0,1,0,0,3,2,0,3,4,1,0,0,1,0,15,1
171,1,0,0,1,0,1,3,3,0,4,0,1,0,0,1,0,15,1
172,1,0,0,1,0,0,3,3,0,4,3,1,0,0,0,0,15,1
173,1,1,1,1,0,2,3,0,1,1,0,1,1,0,0,0,15,1
174,1,1,1,1,2,0,4,0,0,1,1,1,0,0,0,0,15,1
176,1,0,0,1,0,0,2,3,0,3,1,0,0,0,0,0,15,1
177,0,1,0,0,2,1,1,3,3,3,4,0,1,0,0,0,15,1
178,0,0,0,1,0,0,3,2,0,2,1,1,0,0,1,0,15,0
180,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,15,0
181,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,15,0
184,0,0,0,0,0,0,1,3,0,4,1,0,0,0,0,0,15,0
185,1,0,0,1,0,0,0,3,0,2,4,0,0,0,0,0,15,1
186,0,0,0,1,2,3,2,3,0,3,3,0,0,0,1,0,15,0
187,1,1,0,1,3,2,2,2,0,2,4,0,0,0,0,0,15,1
188,0,1,0,0,2,3,2,3,0,3,0,0,0,0,0,0,15,1
189,1,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,16,1
190,1,0,0,1,0,0,2,3,0,2,1,0,0,0,0,0,15,1
191,0,0,0,1,0,0,2,3,3,3,2,0,1,0,0,0,15,0
192,0,0,0,1,0,0,1,3,0,3,3,0,0,0,1,1,15,0
193,1,0,1,1,0,0,2,3,0,3,1,0,0,0,1,1,16,1
194,1,1,1,0,0,0,1,1,0,3,2,0,0,0,0,0,15,1
195,1,0,1,1,0,0,2,3,0,3,1,0,0,0,0,0,15,1
196,0,1,1,1,3,3,2,3,1,1,0,0,1,0,1,0,15,1
199,0,0,0,1,0,0,2,3,0,2,4,0,0,0,1,0,16,0
200,1,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,16,1
201,0,0,1,1,0,0,2,3,0,4,0,0,0,0,1,1,16,1
204,0,0,0,1,0,0,2,1,1,3,1,0,1,0,0,0,16,0
205,0,1,0,1,0,0,0,3,0,4,4,0,0,0,0,0,17,1
206,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,16,0
207,0,1,1,0,0,0,1,2,0,3,3,0,0,0,0,0,16,1
210,0,1,1,1,0,0,1,3,1,3,4,0,1,0,0,0,16,1
214,0,1,1,0,7,0,2,3,1,4,1,0,1,0,1,0,17,1
215,0,0,0,0,0,0,1,3,0,3,2,0,0,0,0,0,17,0
216,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,17,0
217,1,1,1,0,0,0,2,3,0,4,0,0,0,0,1,1,16,1
218,1,1,1,0,7,6,2,2,1,3,2,0,1,0,0,0,16,1
219,1,0,0,1,1,1,2,2,2,2,2,0,1,0,0,0,16,1
222,0,0,0,1,0,0,2,3,0,2,0,0,0,0,1,0,14,0
223,0,0,0,1,0,0,2,3,0,3,0,0,0,0,0,0,13,0
224,1,0,0,0,0,1,1,3,1,2,1,0,1,0,0,0,13,1
225,0,0,1,1,0,0,0,3,0,3,2,0,0,0,0,0,13,1
226,0,0,0,1,0,0,1,2,0,2,3,0,0,0,0,0,13,0
228,1,1,1,1,0,0,2,3,0,3,0,0,0,0,0,0,13,1
232,0,1,1,0,0,1,0,3,0,3,4,0,0,0,1,0,13,1
235,0,0,0,1,0,0,1,3,0,4,3,0,0,0,0,0,13,0
236,0,1,0,0,0,0,0,3,0,2,2,0,0,0,0,0,14,1
237,1,0,0,1,0,0,4,3,0,4,4,1,0,0,1,0,13,1
239,0,0,0,1,0,0,1,3,0,1,3,0,0,0,0,0,13,0
240,0,0,1,0,0,2,0,3,1,3,3,0,1,0,0,0,13,1
241,0,0,0,1,0,0,2,2,0,4,1,0,0,0,0,0,13,0
242,0,1,0,1,0,0,1,3,0,1,3,0,0,0,0,0,13,1
243,1,0,0,1,0,0,3,2,0,2,3,1,0,0,1,0,12,1
246,0,0,1,0,0,0,0,3,1,1,1,0,1,0,0,0,13,1
250,0,0,1,1,1,0,1,3,0,3,0,0,0,0,1,0,13,1
251,1,1,0,0,0,2,1,3,1,3,1,0,1,0,1,0,14,1
256,0,0,0,1,1,0,4,0,0,1,2,1,0,1,0,0,13,0
259,1,0,1,0,1,1,2,3,1,2,4,0,1,0,0,0,13,1
260,0,0,0,1,0,0,1,3,0,3,0,0,0,0,0,0,13,0
261,1,0,0,1,2,2,2,3,1,2,2,0,1,0,0,0,13,1
262,1,1,1,0,0,0,2,0,1,1,2,0,1,0,1,1,13,1
263,0,0,0,1,0,0,0,3,0,2,4,0,0,0,0,0,13,0
264,0,0,0,1,0,0,1,3,1,2,4,0,1,0,1,0,13,0
266,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,13,0
267,1,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,14,1
269,1,1,1,0,2,0,1,3,0,2,1,0,0,0,0,0,13,1
272,0,0,0,1,0,0,2,3,0,3,2,0,0,0,0,0,13,0
273,0,0,0,0,0,0,0,3,0,3,4,0,0,0,1,0,13,0
275,0,0,0,0,0,0,0,1,0,2,4,0,0,0,1,0,13,0
276,0,0,0,0,1,3,4,0,0,1,1,1,0,0,1,1,14,0
279,0,0,0,0,0,3,0,3,0,3,1,0,0,0,1,0,14,0
280,1,1,0,0,0,1,1,3,0,3,4,0,0,0,1,1,14,1
283,0,0,0,1,0,0,0,2,0,1,2,0,0,0,0,0,14,0
284,1,0,1,1,0,0,1,3,0,1,3,0,0,0,1,1,14,1
286,0,0,0,0,0,0,3,0,1,2,1,1,1,0,1,1,14,0
287,0,0,0,0,2,1,2,2,0,0,0,0,0,0,1,0,15,0
288,0,1,1,1,0,0,3,2,0,3,1,1,0,0,1,0,14,1
289,0,1,1,0,0,1,2,2,0,1,2,0,0,0,0,0,15,1
290,0,1,0,1,0,0,1,3,0,4,2,0,0,0,0,0,14,1
291,0,0,0,0,3,1,2,2,0,1,3,0,0,0,0,0,15,0
293,0,0,1,1,1,3,3,3,0,1,1,1,0,0,0,0,14,1
295,0,0,0,0,0,0,3,1,0,2,1,1,0,0,1,0,14,0
296,0,0,0,1,0,0,1,1,0,2,2,0,0,0,1,0,14,0
298,0,0,0,1,0,0,0,1,0,2,3,0,0,0,0,0,14,0
299,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,14,1
301,1,1,0,1,0,0,2,3,0,2,3,0,0,0,0,0,14,1
302,0,0,0,1,0,0,1,1,0,3,0,0,0,0,1,0,14,0
303,0,1,1,1,0,2,1,3,0,2,3,0,0,0,0,0,15,1
307,0,1,1,1,1,0,2,3,0,3,1,0,0,0,0,0,14,1
308,0,0,0,0,0,0,1,3,0,2,3,0,0,1,0,0,16,0
309,1,1,1,1,0,0,2,3,0,1,4,0,0,0,0,0,15,1
311,0,0,1,1,0,0,2,3,0,1,3,0,0,0,0,0,15,1
312,0,1,0,0,1,1,0,3,0,4,1,0,0,0,1,1,15,1
313,0,1,1,1,0,0,3,3,0,1,1,1,0,0,0,0,16,1
314,0,0,0,1,0,0,2,3,0,1,3,0,0,0,0,0,15,0
315,0,0,0,1,0,0,1,3,0,1,1,0,0,0,0,0,15,0
316,1,0,1,1,0,0,2,3,0,1,2,0,0,0,1,0,15,1
317,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,15,0
318,0,0,0,0,0,1,2,3,0,2,1,0,0,0,0,0,17,0
319,0,0,0,0,0,0,1,3,0,2,3,0,0,0,0,0,15,0
321,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,15,0
322,0,0,0,1,0,0,3,1,0,2,1,1,0,0,0,0,16,0
323,1,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,15,1
324,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,15,0
325,0,0,0,1,0,0,3,3,0,2,0,1,0,0,0,0,15,0
327,0,0,0,1,0,0,2,3,0,3,2,0,0,0,1,1,15,0
328,0,1,0,1,2,0,1,3,1,3,0,0,1,0,0,0,15,1
329,0,0,0,1,0,0,1,3,0,3,3,0,0,0,0,0,15,0
331,1,0,1,1,0,0,1,3,0,3,3,0,0,0,0,0,15,1
332,0,0,0,1,0,0,1,2,0,1,3,0,0,0,0,0,15,0
336,0,0,1,0,0,0,2,3,0,3,1,0,0,0,1,0,16,1
337,0,0,1,1,1,0,3,2,0,2,4,1,0,0,0,0,15,1
339,0,1,1,1,1,0,1,3,1,0,1,0,1,0,0,0,15,1
340,0,0,0,1,0,0,1,2,0,3,4,0,0,0,0,0,16,0
342,0,1,1,1,0,0,2,1,1,3,3,0,1,0,0,0,15,1
343,0,1,1,0,0,0,2,3,0,3,3,0,0,0,0,0,16,1
344,1,0,1,1,0,0,3,3,0,3,4,1,0,0,0,0,15,1
345,0,0,0,1,0,0,2,3,0,3,0,0,0,0,0,0,15,0
346,0,0,0,1,0,0,3,3,0,2,0,1,0,0,1,0,15,0
348,0,0,0,0,0,1,1,3,0,3,4,0,0,0,1,0,15,0
349,0,1,1,0,0,0,3,3,1,2,3,1,1,0,1,0,15,1
352,0,0,0,0,0,1,1,3,0,2,2,0,0,0,0,0,16,0
354,0,0,0,0,0,0,1,3,3,3,3,0,1,0,0,0,16,0
355,0,0,0,1,0,0,0,3,0,4,3,0,0,0,0,0,15,0
356,0,0,0,0,0,3,0,3,0,1,1,0,0,0,1,1,15,0
357,1,0,1,1,0,0,3,2,1,2,0,1,1,0,0,0,15,1
358,0,0,0,0,0,0,1,3,0,4,4,0,0,0,1,0,15,0
359,0,0,1,0,0,2,2,3,0,4,4,0,0,0,1,0,15,1
360,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,17,0
361,0,0,0,0,0,2,1,3,0,1,2,0,0,0,0,0,16,0
362,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,16,0
363,0,0,0,1,0,0,2,3,0,2,2,0,0,0,0,0,16,0
364,0,0,1,1,0,2,2,3,0,2,3,0,0,0,0,0,16,1
365,0,0,0,0,0,2,1,0,1,3,1,0,1,0,0,0,16,0
366,0,0,0,0,0,2,1,3,2,3,1,0,1,0,0,0,17,0
367,0,0,0,0,0,0,1,3,0,2,1,0,0,0,0,0,16,0
368,0,1,0,1,2,0,0,3,0,1,4,0,0,0,0,0,16,1
369,0,0,0,1,0,0,2,3,0,4,3,0,0,0,0,0,16,0
372,1,0,0,1,2,0,3,3,3,3,2,1,1,0,0,0,16,1
373,0,1,0,1,0,0,0,3,0,4,4,0,0,0,0,0,16,1
374,0,0,0,0,0,0,1,3,1,1,2,0,1,0,0,0,16,0
376,0,0,1,0,0,2,2,3,1,1,2,0,1,0,0,0,17,1
377,0,0,0,1,0,0,1,3,0,2,4,0,0,0,0,0,17,0
378,0,1,0,1,0,0,2,3,0,4,1,0,0,0,1,0,16,1
379,1,1,1,1,1,0,4,0,0,0,1,1,0,0,0,0,16,1
380,0,0,0,1,0,0,3,3,0,2,2,1,0,0,0,0,16,0
381,0,1,1,0,1,0,3,3,0,2,2,1,0,0,0,0,17,1
382,1,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,15,1
386,1,1,1,1,0,0,3,2,0,2,1,1,0,0,0,0,13,1
390,0,0,0,1,0,0,0,3,0,3,4,0,0,0,0,0,13,0
392,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,14,0
396,1,1,1,0,0,0,0,2,3,2,4,0,1,0,0,0,15,1
409,0,0,0,0,0,1,1,3,0,0,3,0,0,0,0,0,16,0
411,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,16,0
412,0,0,1,0,0,0,2,3,0,0,1,0,0,0,1,0,15,1
413,1,1,1,1,0,0,3,3,4,1,3,1,1,0,0,0,15,1
414,1,0,1,1,0,0,2,1,3,3,1,0,1,0,0,0,16,1
416,1,1,1,1,0,0,2,3,0,2,3,0,0,0,0,0,16,1
417,0,0,0,1,0,0,3,3,1,2,1,1,1,0,0,0,15,0
420,0,1,0,1,0,0,3,0,2,1,0,1,1,0,0,0,17,1
421,0,0,0,0,0,0,1,3,1,2,4,0,1,0,0,0,16,0
422,0,0,0,1,0,2,0,2,0,2,2,0,0,0,0,0,16,0
423,0,0,0,1,0,0,0,2,0,0,3,0,0,0,1,1,17,0
425,0,0,0,1,1,2,2,1,0,1,0,0,0,0,1,0,15,0
426,0,0,0,1,0,1,1,3,0,1,0,0,0,0,0,0,15,0
428,0,0,1,1,2,2,2,3,1,3,0,0,1,0,1,0,13,1
430,1,1,0,1,0,0,1,0,4,0,0,0,1,0,1,1,14,1
433,0,0,0,0,0,0,0,3,0,4,2,0,0,0,0,0,14,0
435,1,1,0,0,0,1,0,3,2,2,0,0,1,0,1,0,13,1
436,1,1,0,0,0,1,2,3,0,2,0,0,0,0,1,0,13,1
438,0,0,0,1,0,0,1,2,1,3,1,0,1,0,1,0,15,0
439,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,0,14,0
446,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,16,1
450,1,1,1,0,1,1,0,2,1,1,0,0,1,0,0,0,17,1
452,0,0,1,1,0,0,3,0,0,1,3,1,0,0,0,0,16,1
455,1,0,0,1,0,0,2,1,0,3,1,0,0,0,1,0,13,1
456,0,0,0,1,0,0,0,3,0,2,1,0,0,0,1,0,13,0
457,0,0,0,1,0,0,2,3,0,2,2,0,0,0,1,0,14,0
458,1,1,0,1,0,0,2,3,1,2,1,0,1,0,1,0,14,1
462,0,0,0,1,0,0,3,2,2,1,0,1,1,0,0,0,14,0
463,0,0,0,1,0,0,0,3,0,3,4,0,0,0,1,0,13,0
464,0,0,0,0,0,0,2,2,0,3,3,0,0,0,0,0,15,0
465,0,1,0,0,2,0,2,3,0,1,1,0,0,0,1,0,16,1
466,0,0,0,1,0,0,1,3,2,3,3,0,1,0,0,0,15,0
469,0,0,0,0,0,0,2,3,0,4,4,0,0,0,1,0,13,0
470,0,1,0,1,1,1,0,0,1,3,1,0,1,0,1,0,14,1
471,0,0,0,0,0,0,0,3,4,2,4,0,1,0,0,0,15,0
472,0,0,0,0,0,2,0,3,1,1,4,0,1,0,0,0,13,0
475,1,0,1,1,0,1,4,2,0,3,2,1,0,0,1,1,14,1
476,0,0,0,0,2,0,1,2,2,4,0,0,1,0,1,1,16,0
479,0,0,0,0,0,1,2,3,2,1,1,0,1,0,0,0,14,0
480,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,15,0
482,0,0,0,0,0,0,0,3,0,4,4,0,0,0,1,0,14,0
483,0,0,0,0,2,2,0,3,1,2,3,0,1,0,0,0,15,0
484,1,0,1,1,0,0,3,3,0,3,0,1,0,0,0,0,16,1
486,1,1,0,1,6,5,4,1,4,2,1,1,1,0,0,0,15,1
488,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,15,0
489,0,0,0,1,0,0,2,3,2,3,2,0,1,0,0,0,15,0
490,1,0,0,0,0,0,2,3,0,3,1,0,0,0,0,0,15,1
491,0,0,0,1,1,1,0,3,0,2,3,0,0,0,0,0,14,0
492,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,1,15,0
495,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,16,0
496,0,0,0,1,0,0,2,3,0,3,0,0,0,0,0,0,17,0
497,1,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,15,1
498,0,0,0,1,0,0,2,1,4,4,4,0,1,0,0,0,15,0
499,0,1,0,1,0,0,2,3,0,3,2,0,0,0,0,0,15,1
500,0,1,0,1,1,1,2,3,0,1,1,0,0,0,1,0,15,1
501,0,1,1,1,0,0,3,3,0,2,1,1,0,0,0,0,17,1
502,0,0,0,0,0,0,2,0,4,3,1,0,1,0,0,0,15,0
503,0,0,0,0,0,7,4,1,4,4,0,1,1,0,0,0,17,0
504,1,1,1,1,0,1,3,3,4,3,0,1,1,0,0,0,16,1
505,0,0,0,1,0,0,2,2,3,2,4,0,1,0,0,0,16,0
506,0,0,0,1,0,0,2,3,0,3,4,0,0,0,0,0,16,0
507,0,0,0,1,0,0,0,1,0,3,4,0,0,0,0,0,17,0
509,0,0,0,1,0,0,0,2,0,2,1,0,0,0,1,0,16,0
510,1,1,0,1,4,5,3,2,0,1,0,1,0,0,0,0,16,1
511,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,16,0
512,0,0,0,1,0,0,2,3,0,3,0,0,0,0,1,0,13,0
513,1,1,1,0,7,1,2,2,0,1,0,0,0,0,1,0,14,1
515,0,1,0,0,0,0,1,3,0,1,1,0,0,0,1,0,14,1
519,0,0,0,1,0,0,2,3,1,4,2,0,1,0,0,0,13,0
523,0,1,1,0,0,0,2,3,0,4,2,0,0,0,0,0,15,1
524,0,0,0,1,0,0,2,2,0,3,4,0,0,0,0,0,13,0
526,1,0,0,1,0,0,1,3,0,4,1,0,0,0,0,0,13,1
527,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,0,14,0
528,0,0,0,1,0,0,2,3,0,2,3,0,0,0,0,0,13,0
529,1,1,1,1,0,2,3,3,1,1,0,1,1,0,1,0,14,1
532,0,0,1,0,0,0,1,3,1,2,1,0,1,0,0,0,15,1
533,0,0,0,1,0,0,3,3,1,2,1,1,1,0,0,0,15,0
535,0,0,0,0,1,1,0,3,0,4,4,0,0,0,0,0,13,0
540,1,0,0,0,0,0,2,3,4,1,0,0,1,0,0,0,16,1
542,0,0,0,1,0,0,0,3,0,4,4,0,0,0,0,0,13,0
544,0,0,0,0,0,2,0,3,0,3,0,0,0,0,1,1,15,0
548,0,0,0,0,0,0,1,3,0,2,2,0,0,0,0,0,13,0
554,0,0,0,1,0,0,0,2,0,2,2,0,0,0,0,0,14,0
555,1,1,0,1,0,0,4,3,0,1,2,1,0,0,0,0,15,1
556,1,1,0,1,0,0,4,3,1,1,0,1,1,0,0,0,13,1
558,0,1,1,0,0,0,0,3,2,4,3,0,1,0,0,0,15,1
562,0,0,0,0,0,1,2,3,0,0,4,0,0,0,1,0,13,0
565,0,0,1,0,1,2,2,3,0,3,2,0,0,0,1,1,13,1
567,0,0,0,1,0,0,0,2,1,1,4,0,1,0,0,0,13,0
570,0,0,0,0,1,1,3,3,0,1,4,1,0,0,0,0,14,0
571,0,0,0,1,0,0,2,2,0,0,3,0,0,0,0,0,14,0
572,1,1,1,1,0,0,2,3,0,3,1,0,0,0,1,0,15,1
573,1,1,1,1,0,0,3,3,1,2,1,1,1,0,1,0,14,1
575,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,1,14,0
583,0,0,0,0,0,0,0,3,2,0,4,0,1,0,0,0,14,0
584,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,13,0
590,0,0,1,0,1,1,1,3,2,0,0,0,1,0,0,0,13,1
598,0,0,0,0,0,0,2,3,0,2,0,0,0,0,1,1,15,0
601,0,0,0,1,0,0,0,3,0,2,3,0,0,0,0,0,14,0
602,1,1,0,1,0,0,2,3,4,0,1,0,1,0,0,0,17,1
603,0,0,0,1,0,0,0,3,1,2,3,0,1,0,0,0,14,0
605,0,0,1,1,0,0,2,3,1,0,4,0,1,0,0,0,16,1
609,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,15,0
610,0,0,0,1,0,0,0,3,4,2,4,0,1,0,0,0,14,0
611,0,0,0,1,0,0,3,3,2,3,1,1,1,0,0,0,16,0
613,0,1,0,1,1,2,4,3,0,1,0,1,0,0,1,0,15,1
614,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,1,14,0
618,0,0,0,1,0,0,2,3,0,2,0,0,0,0,1,0,14,0
620,0,0,1,1,0,0,0,3,0,2,0,0,0,0,1,0,14,1
621,0,0,0,1,0,0,3,1,4,1,1,1,1,0,1,0,14,0
622,0,0,0,0,0,0,0,3,1,4,4,0,1,0,0,0,14,0
623,0,0,0,1,0,0,0,3,0,2,4,0,0,0,0,0,14,0
624,0,0,0,1,0,0,1,3,0,2,2,0,0,0,0,0,14,0
625,0,0,0,0,0,7,2,0,0,2,1,0,0,0,0,0,17,0
626,0,0,0,1,0,2,0,2,0,2,1,0,0,0,0,0,15,0
627,0,0,0,0,0,0,2,3,0,1,2,0,0,0,0,0,15,0
636,0,0,0,0,1,2,0,3,1,2,1,0,1,0,0,0,17,0
637,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,14,1
641,0,0,0,0,0,2,2,3,1,3,3,0,1,0,0,0,16,0
643,1,1,1,1,0,0,1,2,2,3,4,0,1,0,0,0,16,1
648,1,1,0,1,0,0,1,3,1,4,3,0,1,0,0,0,14,1
654,1,0,1,1,0,1,2,3,0,3,2,0,0,0,1,0,14,1
