,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese,Age,bullied
17629,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,14,0
17630,1,1,0,1,0,0,2,3,1,1,0,0,1,0,0,0,15,1
17638,0,0,0,1,0,0,4,3,2,3,4,1,1,0,0,0,16,0
17639,0,0,0,1,0,0,2,3,0,3,4,0,0,0,0,0,16,0
17641,0,0,1,0,0,2,4,3,1,4,0,1,1,0,0,0,14,1
17642,0,0,0,1,0,0,2,3,0,3,4,0,0,0,0,0,14,0
17645,0,0,0,1,0,0,0,3,0,2,3,0,0,0,0,0,14,0
17648,1,0,1,1,0,0,2,2,0,2,3,0,0,0,0,0,14,1
17654,0,0,0,1,1,3,4,3,0,2,1,1,0,0,1,0,14,0
17656,0,0,0,1,0,0,3,3,1,0,3,1,1,0,0,0,14,0
17657,0,0,0,1,0,0,2,3,0,4,1,0,0,0,1,0,14,0
17658,1,1,1,1,0,0,4,1,0,3,3,1,0,0,0,0,14,1
17661,0,0,0,1,0,0,3,2,2,2,0,1,1,0,0,0,14,0
17662,1,0,0,1,0,0,2,3,0,3,3,0,0,0,0,0,14,1
17663,0,1,0,0,0,1,3,3,2,3,1,1,1,0,0,0,15,1
17667,0,0,1,0,0,0,2,3,0,2,3,0,0,0,1,0,15,1
17670,0,0,1,1,0,0,3,1,1,3,0,1,1,0,0,0,15,1
17671,0,0,1,1,0,0,0,3,1,1,2,0,1,0,0,0,15,1
17672,1,1,1,1,1,2,2,3,0,1,0,0,0,0,0,0,15,1
17673,0,0,1,0,0,0,1,3,0,4,4,0,0,0,0,0,15,1
17674,0,0,1,0,0,0,1,3,0,4,4,0,0,0,0,0,15,1
17675,0,0,0,1,0,0,1,2,0,3,0,0,0,0,0,0,16,0
17676,0,0,1,0,2,2,3,3,0,3,4,1,0,0,1,0,15,1
17678,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,16,0
17679,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,15,0
17680,0,0,0,1,3,2,2,3,2,3,3,0,1,0,0,0,15,0
17682,0,0,1,0,2,1,1,3,0,3,0,0,0,0,0,0,15,1
17685,0,0,0,1,0,0,0,3,0,2,4,0,0,0,1,0,15,0
17687,1,1,1,1,2,0,4,3,0,2,0,1,0,0,0,0,16,1
17688,0,0,0,0,0,0,2,3,1,3,1,0,1,0,0,0,16,0
17692,0,0,0,1,0,0,1,3,0,1,4,0,0,0,0,0,15,0
17693,0,0,0,1,0,0,1,3,0,1,4,0,0,0,0,0,16,0
17694,0,0,0,1,0,0,1,3,0,1,3,0,0,0,0,0,15,0
17697,0,0,0,0,0,0,3,3,1,1,0,1,1,0,0,0,15,0
17698,0,0,0,0,0,0,0,2,0,4,4,0,0,0,0,0,15,0
17700,1,0,0,1,0,0,2,2,0,3,3,0,0,0,1,0,16,1
17701,0,0,0,1,0,0,3,1,0,2,1,1,0,0,0,0,15,0
17703,0,0,0,1,0,0,0,3,0,4,4,0,0,0,0,0,15,0
17704,0,0,0,1,0,0,0,2,0,4,3,0,0,0,0,0,15,0
17706,0,0,0,1,0,0,2,3,0,4,1,0,0,0,0,0,16,0
17707,0,0,0,1,0,0,2,2,1,1,1,0,1,0,0,0,15,0
17708,1,1,1,0,0,0,2,3,1,1,0,0,1,0,0,0,15,1
17709,0,1,0,0,1,1,3,3,0,2,0,1,0,0,1,0,15,1
17711,0,0,0,0,0,0,3,3,3,3,4,1,1,0,1,0,15,0
17712,0,0,0,1,0,0,1,3,2,2,3,0,1,0,0,0,15,0
17713,0,0,0,0,0,0,0,3,0,3,4,0,0,0,1,0,15,0
17715,0,0,0,1,0,0,0,3,0,4,4,0,0,0,0,0,15,0
17717,0,0,0,0,0,0,0,3,0,3,3,0,0,0,1,0,15,0
17718,1,0,0,1,0,0,4,3,0,1,0,1,0,0,1,0,15,1
17719,1,0,1,0,0,0,1,3,0,3,4,0,0,0,1,0,15,1
17720,1,1,1,1,0,1,2,3,0,1,0,0,0,0,0,0,15,1
17721,1,1,1,1,0,0,3,3,0,0,4,1,0,0,0,0,15,1
17722,1,0,0,1,2,0,1,3,0,1,0,0,0,0,0,0,17,1
17723,0,0,1,1,0,0,3,3,1,1,1,1,1,0,0,0,16,1
17725,1,1,1,1,0,0,2,2,1,2,1,0,1,0,1,0,15,1
17727,1,1,1,1,0,1,4,3,0,0,4,1,0,0,0,0,16,1
17728,0,0,0,0,0,0,3,3,0,2,0,1,0,0,1,0,16,0
17729,0,0,0,1,0,0,2,3,0,2,1,0,0,0,0,0,16,0
17730,1,0,0,1,0,0,3,3,0,1,0,1,0,0,1,0,16,1
17731,0,0,0,0,2,5,1,3,0,4,4,0,0,0,0,0,16,0
17732,1,0,0,0,1,1,2,3,0,3,1,0,0,0,0,0,16,1
17733,1,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0,16,1
17734,0,0,0,0,0,0,1,3,0,1,1,0,0,0,1,0,16,0
17736,1,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,16,1
17737,0,0,0,1,0,0,3,3,0,4,3,1,0,0,0,0,16,0
17739,0,0,0,0,0,0,2,3,2,2,2,0,1,0,0,0,17,0
17740,0,0,0,1,0,0,3,2,3,3,0,1,1,0,1,0,17,0
17742,0,0,0,1,0,0,4,2,0,2,1,1,0,0,0,0,16,0
17743,0,0,0,1,0,0,2,3,0,1,3,0,0,0,0,0,17,0
17744,0,1,1,1,0,0,1,3,0,3,1,0,0,0,0,0,16,1
17746,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,17,0
17748,0,0,0,1,0,0,2,2,1,4,1,0,1,0,0,0,16,0
17749,0,0,0,1,0,0,2,2,0,3,0,0,0,0,1,0,16,0
17750,0,1,1,1,2,0,3,1,0,3,0,1,0,0,1,0,16,1
17751,0,0,1,1,0,0,0,3,0,3,0,0,0,0,0,0,17,1
17752,0,0,0,1,0,0,4,3,0,3,0,1,0,0,1,0,16,0
17753,1,1,0,1,7,0,3,0,4,1,1,1,1,0,0,0,16,1
17754,1,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,16,1
17755,0,0,0,1,0,0,2,3,0,2,0,0,0,0,0,0,16,0
17758,0,1,1,0,0,0,0,3,0,3,4,0,0,0,0,0,17,1
17759,1,0,0,0,1,0,2,3,0,3,0,0,0,0,0,0,16,1
17761,0,0,0,1,0,0,2,0,1,2,0,0,1,0,0,0,17,0
17762,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,16,0
17763,0,0,0,1,0,0,1,3,0,3,3,0,0,0,0,0,16,0
17764,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0,16,0
17767,0,0,0,1,0,0,2,3,2,2,1,0,1,0,0,0,17,0
17768,0,1,0,0,1,0,0,3,0,2,4,0,0,0,1,0,14,1
17769,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,13,0
17770,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,0,14,0
17772,0,0,0,0,0,0,1,3,0,3,0,0,0,0,1,0,13,0
17773,0,0,0,0,2,2,0,3,0,3,1,0,0,0,1,0,14,0
17775,0,0,0,1,0,0,1,3,0,3,4,0,0,0,1,0,13,0
17776,0,0,0,1,1,1,2,3,1,2,2,0,1,0,0,0,14,0
17777,0,0,0,1,2,2,2,3,0,4,2,0,0,0,0,0,13,0
17778,0,0,0,1,0,0,3,2,0,1,2,1,0,0,0,0,15,0
17779,0,0,0,1,0,0,1,3,0,3,3,0,0,0,0,0,13,0
17780,0,0,1,1,0,1,2,3,1,4,3,0,1,0,0,0,13,1
17781,0,0,0,1,0,0,0,3,1,4,4,0,1,0,1,0,14,0
17782,0,0,0,1,0,1,2,3,0,1,1,0,0,0,0,0,14,0
17783,0,0,0,1,0,0,1,3,0,3,2,0,0,0,0,0,14,0
17784,0,1,1,1,0,0,2,1,1,2,2,0,1,0,0,0,13,1
17785,0,0,1,1,0,1,1,3,0,3,4,0,0,0,0,0,16,1
17786,0,0,0,1,0,0,0,2,1,3,3,0,1,0,0,0,15,0
17789,0,0,0,0,0,0,0,3,2,3,4,0,1,0,1,0,14,0
17791,1,1,1,1,0,0,2,3,0,3,0,0,0,0,1,0,15,1
17794,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,15,0
17795,0,0,0,0,0,0,1,3,0,3,4,0,0,0,0,0,14,0
17796,1,1,1,0,0,0,2,3,0,3,0,0,0,0,1,0,14,1
17797,0,0,0,0,0,1,1,2,1,2,1,0,1,0,0,0,16,0
17801,0,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0,16,0
17802,0,1,1,1,2,1,2,2,2,3,1,0,1,0,0,0,15,1
17803,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,15,0
17804,0,0,0,1,0,0,1,3,0,2,3,0,0,0,0,0,15,0
17805,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,15,1
17806,1,1,0,1,0,0,4,1,1,1,3,1,1,0,0,0,16,1
17807,0,0,0,0,1,1,0,3,4,0,2,0,1,0,0,0,16,0
17808,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,16,0
17809,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,16,0
17810,0,0,0,1,0,0,2,2,0,3,1,0,0,0,0,0,15,0
17811,0,0,0,1,0,0,3,3,1,1,2,1,1,0,0,0,16,0
17812,0,0,0,1,0,0,0,3,0,4,4,0,0,0,0,0,16,0
17815,0,0,0,1,0,0,3,3,0,4,0,1,0,0,0,0,17,0
17816,1,0,0,0,2,2,2,0,1,3,4,0,1,0,0,0,16,1
17820,0,0,0,1,0,0,3,2,0,3,2,1,0,0,0,0,13,0
17821,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,14,0
17824,0,1,1,0,0,0,0,3,0,1,2,0,0,0,0,0,13,1
17827,0,0,0,1,0,0,2,1,0,3,3,0,0,0,1,0,13,0
17828,0,0,0,1,0,0,0,3,0,4,3,0,0,0,1,0,13,0
17829,1,1,1,1,0,0,2,3,0,2,1,0,0,0,0,0,14,1
17830,0,0,0,1,0,0,3,2,2,2,0,1,1,0,0,0,13,0
17831,1,1,1,1,0,0,0,3,0,4,4,0,0,0,1,0,13,1
17832,0,0,0,1,0,0,1,3,0,2,4,0,0,0,0,0,13,0
17833,0,1,1,1,2,0,2,2,1,2,3,0,1,0,0,0,13,1
17835,1,0,0,1,0,0,0,3,2,3,4,0,1,0,1,0,14,1
17836,0,0,0,1,0,0,1,1,0,2,4,0,0,0,0,0,13,0
17837,1,1,1,0,2,0,0,3,0,3,4,0,0,0,0,0,13,1
17838,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13,0
17839,1,0,0,0,2,0,3,3,0,2,1,1,0,1,0,0,14,1
17840,1,1,1,1,0,0,3,2,0,1,2,1,0,0,0,0,14,1
17841,0,0,0,1,0,0,1,3,0,1,4,0,0,0,0,0,13,0
17842,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,13,0
17843,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,13,0
17845,0,0,0,1,0,0,1,3,4,4,4,0,1,0,1,1,14,0
17846,0,0,0,1,0,0,0,1,0,3,4,0,0,0,0,0,14,0
17847,0,0,1,0,0,2,2,1,0,3,2,0,0,0,0,0,13,1
17848,0,0,0,1,0,0,0,3,0,2,4,0,0,0,1,1,13,0
17850,0,0,0,1,0,0,0,3,0,1,4,0,0,0,1,0,13,0
17851,0,0,0,0,0,0,2,2,0,2,4,0,0,0,0,0,13,0
17852,0,0,0,1,0,0,0,3,0,2,3,0,0,0,1,0,13,0
17854,0,0,0,1,0,0,1,3,0,2,3,0,0,0,1,0,14,0
17856,0,0,0,1,0,0,0,3,1,3,3,0,1,0,0,0,14,0
17858,1,1,0,1,0,0,2,3,0,1,0,0,0,0,1,0,13,1
17859,0,0,0,0,0,2,2,3,0,1,3,0,0,0,0,0,15,0
17861,0,0,0,1,0,0,3,3,1,2,4,1,1,0,1,1,14,0
17863,0,0,0,1,0,0,2,3,0,3,4,0,0,0,0,0,15,0
17864,0,1,1,1,5,0,2,3,0,0,0,0,0,0,1,0,13,1
17866,0,1,0,1,0,1,4,1,1,1,1,1,1,0,0,0,14,1
17867,0,0,0,1,0,0,0,3,0,3,1,0,0,1,0,0,13,0
17868,1,0,1,1,0,0,2,3,0,2,3,0,0,0,1,0,13,1
17871,0,0,0,1,0,0,1,3,0,4,4,0,0,0,0,0,14,0
17872,0,0,0,1,0,0,2,3,0,4,0,0,0,0,0,0,14,0
17873,0,1,1,0,0,7,0,3,0,4,4,0,0,0,1,0,15,1
17874,0,1,0,0,0,2,2,3,1,4,4,0,1,0,0,0,16,1
17876,0,0,0,1,0,0,2,1,0,2,1,0,0,0,1,0,14,0
17877,0,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,14,0
17878,1,0,1,1,1,1,2,3,0,2,3,0,0,0,0,0,14,1
17879,1,1,1,1,0,0,1,3,0,1,2,0,0,0,1,0,14,1
17880,1,0,1,1,0,0,2,3,0,4,1,0,0,0,0,0,14,1
17881,0,0,0,1,0,0,4,2,0,1,0,1,0,0,0,0,15,0
17884,0,0,0,1,1,0,2,3,2,1,0,0,1,0,1,0,14,0
17885,0,0,1,1,0,0,3,0,0,3,0,1,0,0,0,0,14,1
17886,1,0,1,1,1,0,4,3,0,3,2,1,0,0,0,0,14,1
17887,0,0,0,0,0,0,3,3,0,4,1,1,0,0,0,0,15,0
17888,1,1,0,0,0,0,0,3,0,2,4,0,0,0,1,0,14,1
17889,0,1,1,1,0,0,0,3,0,3,1,0,0,0,0,0,14,1
17890,0,0,0,1,0,0,2,2,0,2,2,0,0,0,0,0,14,0
17892,0,0,1,1,0,0,2,3,0,3,3,0,0,0,1,0,14,1
17893,0,0,0,1,0,0,1,3,0,3,3,0,0,0,1,0,15,0
17894,0,0,0,1,0,0,2,3,0,2,3,0,0,0,0,0,14,0
17895,0,0,0,1,0,0,1,1,0,3,1,0,0,0,0,0,14,0
17896,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,15,1
17897,0,0,0,0,0,0,2,2,1,4,1,0,1,0,0,0,15,0
17898,0,0,0,1,2,0,4,3,0,1,0,1,0,0,0,0,15,0
17899,0,0,1,1,0,0,3,3,0,3,2,1,0,0,1,1,15,1
17900,0,1,0,0,0,2,2,3,1,4,4,0,1,0,0,0,17,1
17901,0,0,0,0,0,0,0,3,0,3,3,0,0,0,1,1,15,0
17902,0,0,0,1,0,0,2,3,0,4,3,0,0,0,0,0,15,0
17903,0,1,1,1,0,1,3,3,0,1,0,1,0,0,0,0,15,1
17904,0,1,0,0,1,0,1,2,1,3,3,0,1,0,1,1,15,1
17905,0,0,0,1,0,0,3,3,0,3,0,1,0,0,0,0,15,0
17906,0,1,0,1,0,0,3,3,0,2,3,1,0,0,0,0,15,1
17907,0,0,0,0,0,1,1,3,0,4,2,0,0,0,0,0,15,0
17908,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,15,0
17909,0,0,0,1,0,0,4,3,0,4,0,1,0,0,0,0,15,0
17912,0,0,0,1,0,0,2,3,0,1,1,0,0,0,0,0,15,0
17913,0,0,0,1,1,0,3,1,0,2,2,1,0,0,0,0,15,0
17914,1,1,1,1,0,0,3,3,0,4,0,1,0,0,0,0,15,1
17916,1,1,1,1,1,0,2,3,0,2,0,0,0,0,0,0,15,1
17918,1,0,1,1,0,0,3,3,0,2,1,1,0,0,1,0,16,1
17919,0,0,0,1,0,0,3,3,0,3,4,1,0,0,0,0,15,0
17920,0,0,0,1,0,0,2,3,0,3,2,0,0,0,0,0,15,0
17921,0,0,0,1,0,0,1,3,0,2,2,0,0,0,0,0,15,0
17922,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,15,0
17923,0,0,0,1,0,0,1,3,0,2,2,0,0,0,0,0,15,0
17924,0,1,1,1,0,0,3,3,1,2,1,1,1,0,0,0,15,1
17925,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,17,0
17926,1,1,1,1,0,0,2,3,0,4,3,0,0,0,0,0,15,1
17927,0,0,0,1,0,0,0,3,0,3,4,0,0,0,0,0,15,0
17928,0,0,1,1,0,0,4,1,0,0,0,1,0,0,1,0,15,1
17929,0,0,0,1,0,0,1,2,4,4,1,0,1,0,0,0,17,0
17930,1,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,15,1
17931,0,0,1,1,0,0,4,3,0,3,4,1,0,0,0,0,15,1
17932,0,0,1,1,0,0,2,2,0,3,3,0,0,0,0,0,15,1
17933,0,0,0,0,0,0,1,2,0,2,3,0,0,0,0,0,15,0
17934,0,0,1,1,0,0,2,2,0,3,3,0,0,0,0,0,15,1
17935,0,1,0,1,0,0,3,3,0,3,3,1,0,0,0,0,15,1
17936,0,0,0,1,0,0,1,3,0,2,2,0,0,0,1,1,15,0
17937,0,0,0,1,0,2,1,3,0,3,4,0,0,1,0,0,15,0
17939,0,0,0,1,0,0,2,3,0,3,4,0,0,0,1,0,17,0
17940,0,0,0,1,0,0,0,3,1,2,4,0,1,0,0,0,17,0
17941,0,0,0,1,2,1,3,3,3,1,0,1,1,0,0,0,16,0
17942,0,0,1,1,0,0,2,3,0,3,3,0,0,0,0,0,16,1
17944,0,0,0,1,1,0,0,3,0,1,3,0,0,0,0,0,16,0
17946,0,0,0,0,0,0,2,3,0,1,2,0,0,0,0,0,16,0
17947,0,0,0,1,0,0,4,1,0,1,1,1,0,0,0,0,16,0
17948,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,17,0
17949,0,0,0,1,0,0,0,3,0,3,3,0,0,0,0,0,17,0
17951,0,1,1,1,1,0,1,2,1,1,3,0,1,0,0,0,16,1
17952,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,16,0
17953,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,16,0
17954,0,0,0,1,0,0,2,0,0,4,3,0,0,0,0,0,16,0
17955,0,0,0,1,0,0,3,3,0,1,4,1,0,0,0,0,17,0
17956,1,1,0,0,0,0,0,3,0,2,4,0,0,0,0,0,13,1
17957,0,0,0,1,0,0,0,2,0,3,4,0,0,1,0,0,13,0
17958,0,0,0,1,0,0,1,3,0,3,2,0,0,0,0,0,14,0
17960,0,0,1,1,0,0,2,2,0,2,0,0,0,0,0,0,13,1
17961,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,13,1
17965,0,1,0,0,0,0,0,3,0,4,4,0,0,0,0,0,13,1
17966,0,0,0,1,0,0,4,3,2,0,1,1,1,0,0,0,13,0
17967,0,0,0,0,0,0,1,3,0,2,1,0,0,0,1,0,14,0
17971,1,0,1,0,0,0,0,2,0,4,4,0,0,0,0,0,14,1
